L1,L2,L3,L4,L5,L9/10 NORD,L9/10 SUD,L11
HOSPITAL DE BELLVITGE,PARAL.LEL,Z.UNIVERSITARIA,LA PAU,CORNELLA CENTRE,SAGRERA,AEROPORT T1,TRINITAT NOVA
BELLVITGE,SANT ANTONI,PALAU REIAL,BESOS,GAVARRA,ONZE DE SETEMBRE,AEROPORT T2,CASA DE L'AIGUA
AV. CARRILET,UNIVERSITAT,MARIA CRISTINA,BESOS MAR,ST. ILDEFONS,BON PASTOR,MAS BLAU,TORRE BARO|VALLBONA
R.J.OLIVERAS,PG. DE GR�CIA,LES CORTS,MARESME - FORUM,CAN BOIXERES,LLEFIA,PARC NOU,CIUTAT MERIDIANA
CAN SERRA,TETUAN,PL. DEL CENTRE,SELVA DE MAR,CAN VIDALET,LA SALUT,CENTRIC,CAN CUIAS
FLORIDA,MONUMENTAL,SANTS ESTACIO,POBLENOU,PUBILLA CASAS,GORG,EL PRAT ESTACIO,
TORRASSA,SGDA. FAMILIA,TARRAGONA,LLACUNA,ERNEST LLUCH,CAN PEIXAUET,LES MORERES,
STA. EULALIA,ENCANTS,ESPANYA,BOGATELL,COLLBLANC,SANTA ROSA,MERCABARNA,
MERCAT NOU,CLOT,POBLE SEC,CIUTADELLA,BADAL,FONDO,PARC LOGISTIC,
PL. DE SANTS,BAC DE RODA,PARAL.LEL,BARCELONETA,PL. DE SANTS,ESGLESIA MAJOR,FIRA,
HOSTAFRANCS,SANT MARTI,DRASSANES,JAUME I,SANTS ESTACIO,SINGUERLIN,EUROPA - FIRA,
ESPANYA,LA PAU,LICEU,URQUINAONA,ENTENCA,CAN ZAM,CAN TRIES - GORNAL,
ROCAFORT,VERNEDA,CATALUNYA,P. DE GRACIA,H. CLINIC,,TORRASSA,
URGELL,ARTIGUES | S. ADRIA,P. DE GRACIA,GIRONA,DIAGONAL,,COLLBLANC,
UNIVERSITAT,SANT ROC,DIAGONAL,VERDAGUER,VERDAGUER,,ZONA UNIVERSITARIA,
CATALUNYA,GORG,FONTANA,JOANIC,SGDA. FAMILIA,,ZAL - RIU VELL,
URQUINAONA,PEP VENTURA,LESSEPS,ALFONS X,H. DE ST. PAU,,ECOPARC,
ARC DEL TRIOMF,BADALONA | POMPEU FABRA,VALLCARCA,GUINARDO,CAMP DE L ARPA,,P. COMERCIAL - LA FACTORIA,
MARINA,,PENITENTS,MARAGALL,SAGRERA,,ZONA FRANCA,
GLORIES,,VALL D HEBRON,LLUCMAJOR,CONGRES,,FOC,
CLOT,,MONTBAU,VIA JULIA,MARAGALL,,FONERIA,
NAVAS,,MUNDET,TRINITAT NOVA,VIRREI AMAT,,CIUTAT DE LA JUSTUCIA,
SAGRERA,,VALLDAURA,,VILAPICINA,,PROVENCANA,
FABRA I PUIG,,CANYELLES,,HORTA,,,
ST. ANDREU,,ROQUETES,,EL CARMEL,,,
TORRAS I BAGES,,TRINITAT NOVA,,EL COLL | LA TEIXONERA,,,
TRINITAT VELLA,,,,VALL D HEBRON,,,
BARO DE VIVER,,,,,,,
STA. COLOMA,,,,,,,
FONDO,,,,,,,
